id,main_category,sub_category,detail_category,question,answer,is_template,usage,note,issue,createdAt,updatedAt,search_vector
108,利用の流れ,予約方法,ネット予約,予約方法を教えてください,メニューの「ご予約」ページからの24時間ネット予約のみとなります。電話、FAX、メールでのご予約は承っておりません。締切は利用日前日の22:00までです。,f,◯,ネット予約のみ対応,予約方法の明確化,2025-03-13 11:40:15.961,2025-03-13 11:40:15.961,'00までです':8A 'fax':5A 'ご予約':2A 'ネット予約':11B 'ネット予約のみ対応':13 'ページからの24時間ネット予約のみとなります':3A 'メニューの':1A 'メールでのご予約は承っておりません':6A '予約方法':10B '予約方法を教えてください':12C '利用の流れ':9B '締切は利用日前日の22':7A '電話':4A
109,利用の流れ,予約確認,完了画面,予約の完了はどうやって確認できますか？,1.予約完了画面の表示 2.予約受付メールの自動返信 のいずれかで確認できます。メールが来なくても、完了画面が表示されていれば予約は完了しています。,f,◯,完了画面が重要,予約完了確認の明確化,2025-03-13 11:40:15.983,2025-03-13 11:40:15.983,'1':1A '2':3A 'のいずれかで確認できます':5A 'メールが来なくても':6A '予約の完了はどうやって確認できますか':11C '予約受付メールの自動返信':4A '予約完了画面の表示':2A '予約確認':9B '利用の流れ':8B '完了画面':10B '完了画面が表示されていれば予約は完了しています':7A '完了画面が重要':12
110,利用の流れ,来場時,手順,当日の来場時の流れを教えてください,1.駐車場へ来場 2.受付 3.車両とカギのお預かり（※キーホルダー・家のカギは事前に取り外し） 4.空港まで無料送迎,f,◯,カギの付属品は事前に外す,来場時の流れ明確化,2025-03-13 11:40:15.985,2025-03-13 11:40:15.985,'1':1A '2':3A '3':5A '4':9A 'カギの付属品は事前に外す':15 'キーホルダー':7A '利用の流れ':11B '受付':4A '家のカギは事前に取り外し':8A '当日の来場時の流れを教えてください':14C '手順':13B '来場時':12B '空港まで無料送迎':10A '車両とカギのお預かり':6A '駐車場へ来場':2A
111,利用の流れ,帰着時,手順,帰着時（到着日）の流れを教えてください,1.空港到着後、荷物受取完了後に電話連絡 2.駐車場まで無料送迎 3.料金精算（現金のみ） 4.カギの返却,f,◯,携帯電話をオンにしておく,帰着時の流れ明確化,2025-03-13 11:40:15.99,2025-03-13 11:40:15.99,"'1':1A '2':4A '3':6A '4':9A 'の流れを教えてください':16C 'カギの返却':10A '利用の流れ':11B '到着日':15C '帰着時':12B,14C '手順':13B '携帯電話をオンにしておく':17 '料金精算':7A '現金のみ':8A '空港到着後':2A '荷物受取完了後に電話連絡':3A '駐車場まで無料送迎':5A"
112,利用の流れ,送迎時,注意点,送迎時の注意点はありますか？,1.ピーク時間や繁忙期はお迎えに時間がかかる場合があります 2.送迎車乗車までは携帯電話の電源を切らないでください,f,△,携帯電話が重要,送迎時の注意点明確化,2025-03-13 11:40:15.993,2025-03-13 11:40:15.993,'1':1A '2':3A 'ピーク時間や繁忙期はお迎えに時間がかかる場合があります':2A '利用の流れ':5B '携帯電話が重要':9 '注意点':7B '送迎時':6B '送迎時の注意点はありますか':8C '送迎車乗車までは携帯電話の電源を切らないでください':4A
113,利用の流れ,精算時,支払方法,精算時に必要なものはありますか？,現金のみでのお支払いとなります。カード決済は利用できません。,f,◯,現金のみ対応,精算方法の明確化,2025-03-13 11:40:15.996,2025-03-13 11:40:15.996,'カード決済は利用できません':2A '利用の流れ':3B '支払方法':5B '現金のみでのお支払いとなります':1A '現金のみ対応':7 '精算時':4B '精算時に必要なものはありますか':6C
114,利用の流れ,鍵管理,注意点,鍵の取り扱いで注意することは？,キーホルダーや家の鍵など、付属品の紛失・破損については責任を負いかねますので、事前に取り外してください。,f,◯,付属品の事前取り外し必須,鍵の取り扱い明確化,2025-03-13 11:40:15.999,2025-03-13 11:40:15.999,'キーホルダーや家の鍵など':1A '事前に取り外してください':4A '付属品の事前取り外し必須':9 '付属品の紛失':2A '利用の流れ':5B '注意点':7B '破損については責任を負いかねますので':3A '鍵の取り扱いで注意することは':8C '鍵管理':6B
115,利用の流れ,必要物,持ち物,利用時に必要な持ち物は？,1.運転免許証 2.予約時の電話番号が受信可能な携帯電話 3.精算用の現金,f,◯,携帯電話が必須,必要な持ち物明確化,2025-03-13 11:40:16.003,2025-03-13 11:40:16.003,'1':1A '2':3A '3':5A '予約時の電話番号が受信可能な携帯電話':4A '利用の流れ':7B '利用時に必要な持ち物は':10C '必要物':8B '持ち物':9B '携帯電話が必須':11 '精算用の現金':6A '運転免許証':2A
116,予約関連,予約条件,空き状況,予約したい日程に満車(×)の日が1日含まれています。空いている日だけ予約できますか？,予約期間中、すべての日程で空きが必要です。1日でも満車(×)の日が含まれる場合は予約できません。,f,✖️,希望日程をすべて空きのある日に変更してください,分割予約の問い合わせ防止,2025-03-13 11:40:16.008,2025-03-13 11:40:16.008,'1日でも満車':3A 'すべての日程で空きが必要です':2A 'の日が1日含まれています':9C 'の日が含まれる場合は予約できません':4A '予約したい日程に満車':8C '予約期間中':1A '予約条件':6B '予約関連':5B '希望日程をすべて空きのある日に変更してください':11 '空いている日だけ予約できますか':10C '空き状況':7B
117,予約関連,予約時間,夜間予約,22時以降の予約はできますか？,前日22時以降の予約は事務手数料2000円が追加となります。ただし、希望日程すべてに空き（○か△）がある場合のみ可能です。,f,△,22時以降の予約は追加料金が発生します,追加料金の事前告知,2025-03-13 11:40:16.011,2025-03-13 11:40:16.011,'22時以降の予約はできますか':9C '22時以降の予約は追加料金が発生します':10 'か':4A 'がある場合のみ可能です':5A 'ただし':2A '予約時間':7B '予約関連':6B '前日22時以降の予約は事務手数料2000円が追加となります':1A '夜間予約':8B '希望日程すべてに空き':3A
118,予約関連,予約条件,軽自動車,軽自動車の予約はカレンダーの満車に関係なく予約できますか？,21時以降に電話でのみ予約可能です。翌日分は21時から22時までの受付となります。,f,◯,21時以降のお電話でご確認ください,軽自動車枠の予約方法明確化,2025-03-13 11:40:16.013,2025-03-13 11:40:16.013,'21時以降に電話でのみ予約可能です':1A '21時以降のお電話でご確認ください':7 '予約条件':4B '予約関連':3B '翌日分は21時から22時までの受付となります':2A '軽自動車':5B '軽自動車の予約はカレンダーの満車に関係なく予約できますか':6C
119,予約関連,期間制限,繁忙期,繁忙期に予約を入れたいのですが制限はありますか？,繁忙期の期間は大型車と長期預かり割引プランの受入を停止しています,f,△,システム上予約できても実際は受入できない場合があります,繁忙期の予約制限明確化,2025-03-13 11:40:16.016,2025-03-13 11:40:16.016,'システム上予約できても実際は受入できない場合があります':6 '予約関連':2B '期間制限':3B '繁忙期':4B '繁忙期に予約を入れたいのですが制限はありますか':5C '繁忙期の期間は大型車と長期預かり割引プランの受入を停止しています':1A
120,予約関連,制限時間,来場制限,最終の送迎は何時までですか？,往路の最終来場時間は21:30までとなっております。,f,✖️,21:30以降の往路来場は不可,最終受付時間の明確化,2025-03-13 11:40:16.021,2025-03-13 11:40:16.021,'21':7 '30までとなっております':2A '30以降の往路来場は不可':8 '予約関連':3B '制限時間':4B '往路の最終来場時間は21':1A '最終の送迎は何時までですか':6C '来場制限':5B
121,予約関連,確認事項,基本条件,予約の前に確認すべき事項は何ですか？,以下の4点を必ずご確認ください：1. 国内線利用であること 2. 利用人数が往復とも5名以内 3. 車両が受入可能なサイズ・車種 4. 来場時間が21時30分までであること,f,◯,上記条件を満たさない場合は予約できません,予約可否の事前判断,2025-03-13 11:40:16.025,2025-03-13 11:40:16.025,'1':2A '2':4A '3':6A '4':9A '上記条件を満たさない場合は予約できません':15 '予約の前に確認すべき事項は何ですか':14C '予約関連':11B '以下の4点を必ずご確認ください':1A '利用人数が往復とも5名以内':5A '国内線利用であること':3A '基本条件':13B '来場時間が21時30分までであること':10A '確認事項':12B '車両が受入可能なサイズ':7A '車種':8A
122,予約関連,遅延対応,遅刻,遅刻しそうです。どうすればよいですか？,空港までは送迎いたしますが、搭乗手続きに間に合わない可能性がございます。必ず事前にご連絡ください。なお、搭乗手続きにつきましては、お客様ご自身での対応をお願いいたします。,f,△,出発時間の1時間前までのご来場を強く推奨,遅刻時の対応案内,2025-03-13 11:40:16.028,2025-03-13 11:40:16.028,'お客様ご自身での対応をお願いいたします':6A 'どうすればよいですか':11C 'なお':4A '予約関連':7B '出発時間の1時間前までのご来場を強く推奨':12 '必ず事前にご連絡ください':3A '搭乗手続きにつきましては':5A '搭乗手続きに間に合わない可能性がございます':2A '空港までは送迎いたしますが':1A '遅刻':9B '遅刻しそうです':10C '遅延対応':8B
123,予約関連,システム制限,自動判定,予約システムで受付可能でも実際は受入できないケースはありますか？,以下の場合はシステム上予約可能でも受入できません：1.繁忙期の大型車予約 2.長期割引プランの制限期間予約 3.サイズ制限超過車両 4.保険対象外車両,f,✖️,手動での確認と対応が必要です,システム制限の注意喚起,2025-03-13 11:40:16.03,2025-03-13 11:40:16.03,'1':2A '2':4A '3':6A '4':8A 'サイズ制限超過車両':7A 'システム制限':11B '予約システムで受付可能でも実際は受入できないケースはありますか':13C '予約関連':10B '以下の場合はシステム上予約可能でも受入できません':1A '保険対象外車両':9A '手動での確認と対応が必要です':14 '繁忙期の大型車予約':3A '自動判定':12B '長期割引プランの制限期間予約':5A
124,予約関連,複数予約,確認手順,複数台の予約はどのように確認すべきですか？,同一名義での複数台予約の場合：1.家族利用か確認 2.会社利用の場合は社名確認 3.グループ利用の場合は代表者確認 4.備考欄への記載確認,f,◯,複数台利用の意図を必ず確認,複数予約の適切な管理,2025-03-13 11:40:16.033,2025-03-13 11:40:16.033,'1':2A '2':4A '3':6A '4':8A 'グループ利用の場合は代表者確認':7A '予約関連':10B '会社利用の場合は社名確認':5A '備考欄への記載確認':9A '同一名義での複数台予約の場合':1A '家族利用か確認':3A '確認手順':12B '複数予約':11B '複数台の予約はどのように確認すべきですか':13C '複数台利用の意図を必ず確認':14
125,予約関連,トラブル対応,システム障害,システムトラブル時の対応手順は？,1.予約データの手動記録 2.お客様への状況説明 3.代替手段の案内 4.復旧後のデータ補完,f,△,お客様への迅速な情報提供,システムトラブルの影響最小化,2025-03-13 11:40:16.036,2025-03-13 11:40:16.036,'1':1A '2':3A '3':5A '4':7A 'お客様への状況説明':4A 'お客様への迅速な情報提供':13 'システムトラブル時の対応手順は':12C 'システム障害':11B 'トラブル対応':10B '予約データの手動記録':2A '予約関連':9B '代替手段の案内':6A '復旧後のデータ補完':8A
126,予約関連,繁忙期,受付基準,繁忙期の予約受付基準は？,1.大型車受入停止 2.長期割引プラン停止 3.一般予約は通常通り 4.軽自動車は電話予約可,f,△,システムでの自動制御なし,繁忙期対応の明確化,2025-03-13 11:40:16.042,2025-03-13 11:40:16.042,'1':1A '2':3A '3':5A '4':7A 'システムでの自動制御なし':13 '一般予約は通常通り':6A '予約関連':9B '受付基準':11B '大型車受入停止':2A '繁忙期':10B '繁忙期の予約受付基準は':12C '軽自動車は電話予約可':8A '長期割引プラン停止':4A
