main_category,sub_category,detail_category,question,answer,original_tags,reply_type_tags,info_source_tags,situation_tags,usage,note,issue,is_template
特殊対応,規則否定,基本対応,御社の規則は間違っている。変更すべきだ。,この度はご意見をいただき、誠にありがとうございます。当駐車場のルールは、多くのお客様の安全と満足のために慎重に設計されております。いただいたご意見は今後のサービス改善の参考とさせていただきます。しかしながら、現時点では規定の通りの運用となりますので、ご理解いただけますと幸いです。ご不明点やご要望がございましたら、お気軽にお問い合わせください。,特殊対応/規則否定/基本対応;クレーム;意見,丁寧説明 毅然対応,規約記載,標準対応,◯,感情的にならず、丁寧に、しかし毅然とした態度で対応する。規則の根拠をさりげなく示す。,特殊対応の明確化,false
特殊対応,例外要求,不可能な要求,私だけ特別に規則を曲げてほしい。例外として認めるべきだ。,お問い合わせいただき、ありがとうございます。ご要望の内容につきまして、誠に申し訳ございませんが、公平なサービス提供と安全管理の観点から、すべてのお客様に同一の規則を適用させていただいております。特定のお客様のみに例外を設けることは、他のお客様との公平性を損なう可能性があるため、ご理解いただけますと幸いです。,特殊対応/例外要求/不可能な要求;公平性;例外対応,丁寧説明,規約記載,例外不可,◯,公平性の観点を強調し、代替案の可能性を示唆する。,特殊対応の明確化,false
特殊対応,料金クレーム,料金否定,料金設定がおかしい。もっと安くすべきだ。不当に高い。,この度はご意見をいただき、誠にありがとうございます。当駐車場の料金体系は、立地条件、設備維持費、セキュリティ対策、人件費など複数の要因を考慮して設定しております。市場相場や提供するサービス内容とのバランスを取りながら、適正価格の維持に努めております。お客様にとって最適なプランをご提案できるよう各種割引プランもご用意しておりますので、ご検討いただければ幸いです。ご不明点やご要望がございましたら、お気軽にお問い合わせください。,特殊対応/料金クレーム/料金否定;価格設定;割引,丁寧説明 根拠提示,料金表記載,標準対応,◯,料金設定の根拠を示しつつ、割引オプションがあれば提案する。,特殊対応の明確化,false
特殊対応,過剰要求,不合理な要求,車に傷がついた。全額補償すべきだ。新車に交換しろ。,この度は、お車に関するご報告をいただき、誠にありがとうございます。お客様のお車に関する状況を深くお察し申し上げます。当駐車場では、免責約款に記載の通り、お車の管理については所定の補償範囲内での対応とさせていただいております。具体的な状況確認のため、お車の損傷状態の写真や発生状況の詳細をお送りいただけますと幸いです。ご提供いただいた情報を基に、保険適用の可否や当駐車場の責任範囲について精査させていただきます。なお、新車への交換などの過大な補償は承りかねますが、当駐車場の責任が認められる場合は、適切な修理費用の範囲内で誠意をもって対応させていただきます。ご理解いただけますと幸いです。,特殊対応/過剰要求/不合理な要求;車両損傷;補償範囲,丁寧説明 明確拒否,免責約款記載,条件付対応,◯,免責約款を明記しつつ、過大な要求には応じられないことを明確に伝える。証拠収集を促す。,特殊対応の明確化,false
特殊対応,無視判断,判断基準,どのような場合に問い合わせを無視すべきか？,以下の条件に該当する場合、返信を控えるか、定型文による最小限の対応を検討してください：1) 同一人物から同一内容で3回以上の繰り返し問い合わせがある場合、2) 明らかな脅迫や暴言、差別的表現が含まれる場合、3) 詐欺の疑いが強い不自然な要求の場合、4) 当社サービスと全く関係のない内容の場合。これらに該当する問い合わせは、上長へ報告の上、対応方針を相談してください。なお、単なる不満や批判は無視せず、丁寧に対応することが基本です。,特殊対応/無視判断/判断基準;対応基準;社内ルール,内部参照 判断支援,社内規定,条件付対応,◯,社内向けナレッジ。実際の顧客には送らないこと。無視が適切な状況についてのガイドライン。,特殊対応の明確化,false
特殊対応,脅迫・威圧,法的措置示唆,要求を受け入れないなら法的手段に訴える。弁護士に相談済みだ。,お問い合わせいただき、ありがとうございます。お客様のご懸念とご要望は真摯に受け止めております。当駐車場では、すべてのお客様に公平かつ適切なサービスを提供するため、規定に基づいた対応を行っております。法的手段についてお考えとのことですが、まずは双方にとって最善の解決策を話し合いにより見出したいと考えております。具体的なご状況をさらに詳しくお聞かせいただけますでしょうか。なお、法的なご質問や主張につきましては、必要に応じて当社の法務部門で対応させていただくこともございますので、ご了承ください。何卒ご理解いただけますと幸いです。,特殊対応/脅迫威圧/法的措置示唆;弁護士;法務対応,冷静対応 情報収集,社内規定,注意対応,◯,冷静に対応し、脅迫に動じない姿勢を示す。必要に応じて法務部門への連携を示唆する。,特殊対応の明確化,false
特殊対応,脅迫・威圧,SNS拡散示唆,要求を聞かないならSNSで拡散して評判を落とす。,お問い合わせいただき、ありがとうございます。お客様のご不満やご要望について、真摯に受け止めております。当駐車場では、すべてのお客様のご意見を大切にし、サービス向上に努めておりますが、規定に基づいた公平な対応を心がけております。SNSでの情報発信はお客様の自由ですが、建設的な対話を通じて解決策を見出すことが、双方にとって最善の方法ではないかと考えております。具体的なご状況や改善へのご提案がございましたら、ぜひお聞かせください。お客様のご理解とご協力を何卒よろしくお願い申し上げます。,特殊対応/脅迫威圧/SNS拡散示唆;風評被害;対話促進,冷静対応 対話促進,社内規定,注意対応,◯,脅迫に動じず、建設的な対話を促す。事実に基づかない情報拡散は法的問題になる可能性があることには触れない（過度な警告と受け取られる可能性があるため）。,特殊対応の明確化,false
特殊対応,暴言・侮辱,人格攻撃,（スタッフへの暴言や人格攻撃を含む問い合わせ）,お問い合わせいただき、ありがとうございます。お客様のお気持ちやご状況により、強い表現になられたことと存じます。当駐車場では、すべてのお客様に快適にご利用いただけるよう、そしてスタッフが適切にサポートできるよう努めております。より建設的な対話を通じて、お客様のご要望やご不満の解決に取り組みたいと考えておりますので、具体的なご状況を改めてお聞かせいただけますと幸いです。何卒ご理解とご協力をお願い申し上げます。,特殊対応/暴言侮辱/人格攻撃;コミュニケーション;対話改善,冷静対応 境界設定,社内規定,注意対応,◯,暴言そのものには直接触れず、建設的な対話を促す。繰り返される場合は対応中止も検討。,特殊対応の明確化,false
特殊対応,事実誤認,虚偽主張,（利用実績がないにも関わらず）先日利用した際にスタッフの対応が悪かった。補償しろ。,お問い合わせいただき、ありがとうございます。ご不快な思いをされたとのこと、申し訳ございません。お客様のご指摘について適切に調査・対応させていただくため、ご利用日時、予約番号、お車の情報など、具体的な詳細をお知らせいただけますでしょうか。当駐車場では、すべてのご利用記録を管理しており、詳細を確認させていただいた上で、適切な対応をさせていただきます。お手数ではございますが、正確な状況確認のため、追加情報のご提供をお願い申し上げます。,特殊対応/事実誤認/虚偽主張;利用記録;証拠確認,丁寧調査 証拠要求,利用記録,証拠確認必須,◯,直接的に「ご利用の記録がない」とは言わず、証拠提示を求める。詳細情報の提供を求めることで対応を進める。,特殊対応の明確化,false
特殊対応,繰り返し問い合わせ,同一内容反復,（同じ内容で3回目以上の問い合わせ）,お問い合わせいただき、ありがとうございます。お客様には既に（前回の日付）付けのメールにて回答を差し上げており、当駐車場の対応方針に変更はございません。重ねてのご連絡となり恐縮ですが、（核となる回答内容の要約）となります。何か新たなご質問やご状況の変化がございましたら、具体的にお知らせいただけますと幸いです。何卒ご理解いただけますようお願い申し上げます。なお、今後のお問い合わせにつきましては、新たな情報や状況の変化がある場合にご連絡いただけますようお願いいたします。,特殊対応/繰り返し問い合わせ/同一内容反復;コミュニケーション終了;最終回答,明確終了 最終案内,過去対応履歴,最終対応,◯,過去の回答を明示し、新たな情報がなければこれ以上の対応がないことを示唆する。これが最後の回答であることを暗に伝える。,特殊対応の明確化,false
