id,question,answer,created_at,updated_at
1,"駐車場の予約方法を教えてください","駐車場の予約は、以下の手順で行えます：
1. ウェブサイトにアクセス
2. 希望の駐車場を検索
3. 利用日時を選択
4. 予約内容を確認
5. お支払い情報を入力
6. 予約完了メールを確認

24時間前までのご予約をお願いしています。","2025-07-26T07:26:26.840Z","2025-07-26T07:26:26.840Z"
2,"キャンセルはいつまでできますか？","キャンセルは利用開始時間の6時間前まで可能です。それ以降のキャンセルは全額のキャンセル料が発生します。キャンセルは予約確認メールに記載されているリンクから、またはマイページから行えます。","2025-07-26T07:26:26.868Z","2025-07-26T07:26:26.868Z"
3,"支払い方法は何がありますか？","以下の支払い方法をご利用いただけます：
・クレジットカード（VISA、Mastercard、JCB、American Express）
・PayPay
・LINE Pay
・d払い

なお、現金でのお支払いは受け付けておりません。","2025-07-26T07:26:26.878Z","2025-07-26T07:26:26.878Z"
4,"予約の変更は可能ですか？","予約の変更は、利用開始時間の12時間前まで可能です。変更は予約確認メールのリンクまたはマイページから行えます。ただし、空き状況によっては希望の時間に変更できない場合がございます。","2025-07-26T07:26:26.885Z","2025-07-26T07:26:26.885Z"
5,"領収書は発行できますか？","はい、領収書の発行が可能です。予約完了後、マイページの「領収書発行」ボタンから、PDFまたは紙での領収書を発行できます。宛名や但し書きの変更も可能です。","2025-07-26T07:26:26.891Z","2025-07-26T07:26:26.891Z"
6,"予約した駐車場に入れない場合はどうすればいいですか？","駐車場に入れない場合は、以下の手順で対応をお願いします：

1. まず、駐車場入口に記載の緊急連絡先（24時間対応）にご連絡ください
2. オペレーターに予約番号と状況をお伝えください
3. 係員が現地で対応、または代替駐車場をご案内します

※システム障害の場合は、後日、利用料金を全額返金いたします。
※お客様都合（車両サイズ超過など）の場合は、返金対象外となります。

予約時に必ず車両サイズ制限をご確認ください。","2025-07-26T07:26:26.898Z","2025-07-26T07:26:26.898Z"
7,"台風や大雨の場合のキャンセルについて教えてください","気象警報発令時の対応は以下の通りです：

【警報発令時の無料キャンセル条件】
・利用予定時間帯に、利用駐車場エリアで警報（大雨、暴風、特別警報等）が発令されている場合
・利用予定時間帯に、利用駐車場エリアで避難指示が発令されている場合

【手続き方法】
1. マイページまたは予約確認メールからキャンセル手続き
2. キャンセルフォームの「理由選択」で「警報発令」を選択
3. 該当警報の発令状況を確認後、自動的にキャンセル料金が無料となります

※警報解除後のキャンセルは通常のキャンセル規定が適用されます。","2025-07-26T07:26:26.904Z","2025-07-26T07:26:26.904Z"
8,"予約した時間に遅れそうな場合はどうすればいいですか？","予約時間に遅れる場合の対応は以下の通りです：

【30分以内の遅延の場合】
・マイページから遅延申請が可能です
・追加料金なしで利用時間を30分延長できます

【30分以上の遅延が見込まれる場合】
1. カスタマーサポートに電話連絡（予約番号をお伝えください）
2. 空き状況により、予約時間の変更を案内
3. 変更できない場合は、通常のキャンセル規定が適用

※事前連絡なく30分以上の遅延の場合、予約は自動キャンセルとなり、キャンセル料金が発生します。","2025-07-26T07:26:26.912Z","2025-07-26T07:26:26.912Z"
9,"月極駐車場への切り替えは可能ですか？","はい、以下の条件で時間貸し駐車場から月極駐車場への切り替えが可能です：

【切り替え条件】
・同一駐車場で3ヶ月以上の継続利用実績
・月極の空き区画があること
・身分証明書と車検証の提出
・保証金の支払い（1ヶ月分の月極料金）

【切り替えメリット】
・基本料金から15%割引
・予約不要で確実に駐車可能
・請求書払い対応可能

【申込手順】
1. マイページから月極切り替え申請
2. 審査（約3営業日）
3. 契約書類の郵送
4. 契約書返送と保証金のお支払い
5. 月極利用開始

※法人契約の場合は、別途ご相談ください。","2025-07-26T07:26:26.918Z","2025-07-26T07:26:26.918Z"
10,"電気自動車の充電設備がある駐車場を探したいのですが","電気自動車（EV）充電設備付き駐車場は以下の方法で検索・予約できます：

【検索方法】
1. 通常の駐車場検索画面で「詳細条件」をクリック
2. 「設備・オプション」から「EV充電」にチェック

【充電設備の種類】
・普通充電（200V）：全てのEV対応
・急速充電：CHAdeMO規格対応車のみ

【料金体系】
・基本駐車料金＋充電料金（30分単位）
・普通充電：15分100円
・急速充電：15分300円

【ご利用時の注意点】
・充電スペースは予約制
・充電ケーブルは標準装備
・他の車両の充電完了後30分以上の放置は追加料金
・充電トラブル時は24時間サポート対応

※車種により利用できない充電設備もございます。予約時に必ず対応車種をご確認ください。","2025-07-26T07:26:26.926Z","2025-07-26T07:26:26.926Z"
